,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Mar 12, 2020","7,913.62","7,929.12","4,860.35","4,970.79","53,980,357,243","90,804,613,601"
1,"Mar 11, 2020","7,910.09","7,950.81","7,642.81","7,911.43","38,682,762,605","144,508,402,671"
2,"Mar 10, 2020","7,922.15","8,136.95","7,814.76","7,909.73","42,213,940,994","144,465,567,734"
3,"Mar 09, 2020","8,111.15","8,177.79","7,690.10","7,923.64","46,936,995,808","144,706,353,758"
4,"Mar 08, 2020","8,908.21","8,914.34","8,105.25","8,108.12","39,973,102,121","148,060,284,561"
5,"Mar 07, 2020","9,121.60","9,163.22","8,890.74","8,909.95","36,216,930,370","162,684,945,903"
6,"Mar 06, 2020","9,078.31","9,167.70","9,032.08","9,122.55","40,826,885,651","166,548,261,960"
7,"Mar 05, 2020","8,760.29","9,142.05","8,757.25","9,078.76","39,698,054,597","165,731,679,918"
8,"Mar 04, 2020","8,788.54","8,843.37","8,712.43","8,755.25","34,746,706,368","159,807,857,328"
9,"Mar 03, 2020","8,865.39","8,901.60","8,704.99","8,787.79","42,386,715,821","160,383,579,416"
10,"Mar 02, 2020","8,563.26","8,921.31","8,532.63","8,869.67","42,857,674,409","161,861,167,745"
11,"Mar 01, 2020","8,599.76","8,726.80","8,471.21","8,562.45","35,349,164,300","156,238,987,740"
12,"Feb 29, 2020","8,671.21","8,775.63","8,599.51","8,599.51","35,792,392,544","156,895,988,084"
13,"Feb 28, 2020","8,788.73","8,890.46","8,492.93","8,672.46","44,605,450,443","158,211,707,019"
14,"Feb 27, 2020","8,825.09","8,932.89","8,577.20","8,784.49","45,470,195,695","160,238,496,932"
15,"Feb 26, 2020","9,338.29","9,354.78","8,704.43","8,820.52","50,420,050,762","160,879,489,024"
16,"Feb 25, 2020","9,651.31","9,652.74","9,305.02","9,341.71","42,515,259,129","170,369,581,558"
17,"Feb 24, 2020","9,921.58","9,951.75","9,537.04","9,650.17","45,080,496,648","175,977,808,526"
18,"Feb 23, 2020","9,663.32","9,937.40","9,657.79","9,924.52","41,185,185,761","180,963,233,540"
19,"Feb 22, 2020","9,687.71","9,698.23","9,600.73","9,663.18","35,838,025,154","176,180,696,548"
20,"Feb 21, 2020","9,611.78","9,723.01","9,589.74","9,686.44","40,930,547,513","176,587,087,363"
21,"Feb 20, 2020","9,629.33","9,643.22","9,507.90","9,608.48","44,925,260,237","175,147,142,158"
22,"Feb 19, 2020","10,143.80","10,191.68","9,611.22","9,633.39","46,992,019,710","175,585,931,679"
23,"Feb 18, 2020","9,691.23","10,161.94","9,632.38","10,142.00","47,271,023,953","184,838,512,656"
24,"Feb 17, 2020","9,936.56","9,938.82","9,507.64","9,690.14","45,998,298,413","176,585,280,987"
25,"Feb 16, 2020","9,889.18","10,053.97","9,722.39","9,934.43","43,374,780,305","181,017,665,264"
26,"Feb 15, 2020","10,313.86","10,341.56","9,874.43","9,889.42","43,865,054,831","180,179,996,219"
27,"Feb 14, 2020","10,211.55","10,322.00","10,125.53","10,312.12","43,338,264,162","187,862,645,449"
28,"Feb 13, 2020","10,323.96","10,457.63","10,116.16","10,214.38","49,356,071,373","186,065,003,526"
